Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-09-04,25.042402267456055,44.91860580444336,26.21170425415039,24.463478088378906,67.42996978759766,34.94075393676758,43.32279586791992,25.58808708190918,20.932992935180664,80.28053283691406,54.311553955078125
2018-09-05,25.208328247070312,44.335975646972656,26.176414489746094,24.480667114257812,67.91134643554688,34.50464630126953,43.82289123535156,25.748254776000977,21.22530746459961,80.60326385498047,53.727508544921875
2018-09-06,25.25938606262207,44.00303649902344,25.692970275878906,24.36896514892578,68.12141418457031,34.25408935546875,43.94389724731445,25.832151412963867,21.346128463745117,80.60326385498047,53.57917785644531
2018-09-07,25.093454360961914,44.09550476074219,25.689451217651367,24.343185424804688,67.91134643554688,34.13810348510742,43.85514831542969,25.504192352294922,21.084991455078125,80.72535705566406,53.574546813964844
2018-09-10,25.12323760986328,44.18798828125,25.67885398864746,24.317398071289062,68.2614517211914,34.24480438232422,44.0084114074707,25.641483306884766,21.19022560119629,80.51603698730469,53.773860931396484
2018-09-11,25.174291610717773,44.63191604614258,25.922340393066406,24.343185424804688,68.24394226074219,34.53710174560547,43.84710693359375,25.649105072021484,21.135663986206055,80.4462661743164,54.20494079589844
2018-09-12,25.187053680419922,44.502437591552734,26.056434631347656,24.11977195739746,68.45402526855469,34.39328384399414,44.355255126953125,25.67198371887207,21.116180419921875,80.84748840332031,54.306922912597656
2018-09-13,25.284910202026367,44.81687545776367,26.067031860351562,24.08540153503418,68.8653793334961,34.79692077636719,44.29073715209961,25.832151412963867,21.275970458984375,81.85054779052734,54.39963912963867
2018-09-14,25.276405334472656,44.733642578125,26.204647064208984,24.257261276245117,69.20673370361328,34.76909255981445,44.16972732543945,25.610973358154297,21.162940979003906,81.5801773071289,54.1956672668457
2018-09-17,25.365741729736328,44.29898452758789,26.246992111206055,24.154144287109375,69.23299407958984,34.33296203613281,44.3310546875,25.755878448486328,21.23309898376465,81.28360748291016,53.52355194091797
2018-09-18,25.391279220581055,44.61341094970703,26.419902801513672,24.274442672729492,69.86316680908203,34.55103302001953,44.14553451538086,25.603347778320312,21.194120407104492,81.7546157836914,54.20494079589844
2018-09-19,25.667823791503906,44.733642578125,26.50105857849121,24.6868896484375,69.80191040039062,34.462867736816406,44.06486892700195,25.359285354614258,20.73422622680664,81.64122009277344,54.228126525878906
2018-09-20,25.944368362426758,45.223812103271484,26.508121490478516,24.901710510253906,69.90692901611328,34.87114715576172,44.621437072753906,25.549959182739258,20.777103424072266,82.4349594116211,54.59894561767578
2018-09-21,25.88837242126465,45.021636962890625,26.68328094482422,24.80504608154297,70.3589859008789,34.73335647583008,44.69292068481445,25.549957275390625,20.865585327148438,82.54613494873047,54.357635498046875
2018-09-24,25.525009155273438,45.021636962890625,27.074113845825195,24.528854370117188,69.15411376953125,34.90560531616211,44.01057815551758,25.04897689819336,20.68075942993164,82.7125244140625,54.00431823730469
2018-09-25,25.392492294311523,45.04018783569336,27.248220443725586,24.433921813964844,68.94303131103516,34.86370849609375,43.750648498535156,25.025863647460938,20.39761734008789,82.4585952758789,54.23211669921875
2018-09-26,25.140275955200195,45.21638488769531,26.98529052734375,24.140470504760742,68.8990478515625,34.73335647583008,43.79938507080078,24.748395919799805,20.197071075439453,82.6424789428711,54.357635498046875
2018-09-27,24.92225456237793,45.605857849121094,26.98529052734375,24.05415916442871,68.99578094482422,34.938201904296875,43.74252700805664,24.82546615600586,20.405485153198242,83.06275939941406,54.543609619140625
2018-09-28,24.76409149169922,45.438934326171875,26.910680770874023,23.803865432739258,68.95181274414062,35.06853103637695,43.807518005371094,25.133760452270508,20.704345703125,83.31670379638672,54.497127532958984
2018-10-01,25.012033462524414,45.25347137451172,27.283740997314453,23.898805618286133,69.55867004394531,35.23614501953125,43.775020599365234,24.941076278686523,20.633569717407227,83.72826385498047,54.32974624633789
2018-10-02,25.118906021118164,45.21638488769531,27.312170028686523,23.898805618286133,69.71696472167969,35.24078369140625,44.026832580566406,24.863998413085938,20.912771224975586,83.63192749023438,53.59519577026367
2018-10-03,24.93935775756836,45.42039489746094,27.532455444335938,24.123210906982422,70.0072021484375,35.347869873046875,43.55569076538086,24.578826904296875,20.66109275817871,83.47433471679688,53.41387939453125
2018-10-04,24.823942184448242,44.77125549316406,27.41874885559082,24.287193298339844,69.7785415649414,34.710086822509766,43.45009231567383,24.463214874267578,20.771198272705078,82.65997314453125,52.577030181884766
2018-10-05,24.64012336730957,44.344703674316406,27.41520881652832,24.166364669799805,69.4179458618164,34.27249526977539,43.40949249267578,24.470922470092773,21.08973503112793,82.56365203857422,52.181861877441406
2018-10-08,24.627296447753906,44.19630813598633,27.39389419555664,24.330345153808594,69.5938491821289,33.8860969543457,44.01057815551758,24.78692626953125,21.266685485839844,82.52864074707031,52.316680908203125
2018-10-09,23.810806274414062,44.16849899291992,27.639049530029297,24.235410690307617,68.52088928222656,34.007137298583984,43.91310501098633,24.8717098236084,21.353206634521484,82.66875457763672,52.163265228271484
2018-10-10,23.186681747436523,42.42513656616211,26.772109985351562,23.48452377319336,66.3133773803711,32.359153747558594,43.385108947753906,24.478633880615234,21.2352294921875,80.71607971191406,50.4058837890625
2018-10-11,22.917367935180664,42.063472747802734,25.8660888671875,22.785430908203125,64.56316375732422,31.949481964111328,42.31287384033203,23.7618465423584,20.845918655395508,78.5357437133789,49.51790237426758
2018-10-12,22.98148536682129,43.00006866455078,25.937150955200195,22.811325073242188,64.99413299560547,32.97365188598633,42.548439025878906,23.746429443359375,20.822324752807617,79.74411010742188,50.433780670166016
2018-10-15,22.9045352935791,42.833160400390625,25.720407485961914,22.70775032043457,65.11726379394531,32.43363571166992,42.808380126953125,23.892873764038086,20.920635223388672,79.19246673583984,50.31755447387695
2018-10-16,23.272174835205078,43.96448516845703,25.933597564697266,23.087505340576172,66.21661376953125,33.41124725341797,43.287628173828125,24.33989715576172,21.136924743652344,81.36405181884766,51.32640838623047
2018-10-17,23.122556686401367,44.14067459106445,25.77015495300293,23.320539474487305,65.73291015625,33.257625579833984,43.49071502685547,24.270532608032227,21.097597122192383,81.7931137084961,50.90334701538086
2018-10-18,22.861791610717773,43.33390426635742,25.642250061035156,22.93214988708496,64.59835052490234,32.60587692260742,43.4338493347168,24.27823829650879,21.129051208496094,80.86493682861328,49.927024841308594
2018-10-19,22.69934844970703,43.324642181396484,25.414844512939453,23.018457412719727,64.36087799072266,32.59191131591797,44.42486572265625,24.52487564086914,21.45938491821289,80.12940216064453,49.43885803222656
2018-10-22,22.519805908203125,43.296810150146484,25.134157180786133,22.526500701904297,64.14102935791016,32.8619270324707,44.091827392578125,24.17804718017578,21.321746826171875,79.47266387939453,49.6387939453125
2018-10-23,22.297513961791992,43.204078674316406,24.476848602294922,22.34525489807129,63.08564758300781,32.73622512817383,44.286766052246094,24.332191467285156,21.203773498535156,79.04360961914062,49.64808654785156
2018-10-24,21.5921688079834,41.145423889160156,23.51042366027832,21.784250259399414,60.948490142822266,31.26980209350586,44.47359085083008,24.617366790771484,21.718921661376953,76.4342269897461,48.16498947143555
2018-10-25,21.87003517150879,42.50859451293945,23.7982177734375,22.120851516723633,61.379432678222656,32.34517288208008,44.579193115234375,24.910245895385742,21.38072967529297,77.4237060546875,49.62019348144531
2018-10-26,21.741783142089844,41.358707427978516,23.620573043823242,21.801509857177734,60.77256774902344,31.69808578491211,43.72628402709961,24.26282501220703,20.987485885620117,76.54804229736328,48.07666778564453
2018-10-29,21.69048500061035,40.71885299682617,23.179990768432617,21.991384506225586,59.761173248291016,31.162734985351562,44.22990798950195,24.66360855102539,21.282421112060547,76.7406997680664,47.653602600097656
2018-10-30,22.18636703491211,41.831642150878906,23.71649932861328,22.371143341064453,60.992454528808594,31.511877059936523,45.1071891784668,25.07209587097168,21.365007400512695,77.56378936767578,48.369571685791016
2018-10-31,22.48987579345703,42.694053649902344,23.862178802490234,22.68185806274414,61.458580017089844,32.26138687133789,44.68478775024414,24.73297882080078,21.113327026367188,77.66885375976562,48.992557525634766
2018-11-01,23.122556686401367,42.944435119628906,24.064697265625,22.785430908203125,62.540348052978516,32.63847351074219,45.0015983581543,24.82546615600586,21.01894760131836,78.64956665039062,49.99211502075195
2018-11-02,23.066986083984375,42.50859451293945,24.00429344177246,22.768163681030273,62.434818267822266,32.00069046020508,44.766029357910156,24.617366790771484,20.900972366333008,78.15921783447266,50.19667434692383
2018-11-05,23.135379791259766,42.332401275634766,24.405792236328125,23.130659103393555,62.76021194458008,31.968101501464844,45.32651901245117,25.025863647460938,21.195905685424805,78.85098266601562,50.266422271728516
2018-11-06,23.515838623046875,42.5827751159668,24.51948356628418,23.251487731933594,63.419837951660156,32.16826629638672,45.60269546508789,25.16458511352539,21.337474822998047,79.25377655029297,50.48957443237305
2018-11-07,23.939048767089844,43.361732482910156,24.920988082885742,23.553573608398438,64.44883728027344,33.11330795288086,45.86264419555664,25.44205665588379,21.5812931060791,81.58294677734375,51.85642623901367
2018-11-08,23.836448669433594,42.953712463378906,24.38092041015625,23.62261962890625,64.34333038330078,33.08537673950195,45.887001037597656,25.49600601196289,21.545902252197266,81.62674713134766,51.87036895751953
2018-11-09,23.503009796142578,42.07274627685547,24.33828353881836,23.406850814819336,63.69248962402344,32.51277160644531,46.15506362915039,25.526830673217773,21.577354431152344,81.39031982421875,51.14974594116211
2018-11-12,23.15675163269043,41.442169189453125,23.833751678466797,22.940784454345703,62.434818267822266,31.36756134033203,45.911373138427734,25.58078956604004,21.56555938720703,80.28703308105469,50.12229537963867
2018-11-13,23.08835792541504,41.31233215332031,23.28658676147461,23.07024574279785,62.716243743896484,31.40480613708496,45.8057746887207,25.634735107421875,21.656005859375,79.72662353515625,50.09904479980469
2018-11-14,23.062711715698242,41.516353607177734,23.247499465942383,22.75953483581543,62.50516891479492,31.027721405029297,45.49710464477539,25.627029418945312,21.431856155395508,79.08740234375,49.72246551513672
2018-11-15,23.379047393798828,41.822364807128906,23.588592529296875,23.096139907836914,63.331886291503906,31.805160522460938,45.42399215698242,25.4266414642334,21.25489616394043,79.78792572021484,49.64808654785156
2018-11-16,23.614160537719727,41.61836242675781,23.869285583496094,23.12203025817871,63.31431198120117,31.753952026367188,45.537715911865234,25.788881301879883,21.5812931060791,80.59351348876953,49.452823638916016
2018-11-19,23.276447296142578,40.3571891784668,23.862178802490234,23.1133975982666,62.31171417236328,30.543567657470703,45.46461486816406,25.858247756958008,21.67566680908203,79.56897735595703,48.24404525756836
2018-11-20,22.853246688842773,39.82862854003906,23.080509185791016,22.604177474975586,61.01884841918945,29.887168884277344,44.709171295166016,25.519128799438477,21.585222244262695,78.82470703125,47.15149688720703
